isolate	base|NGA50	base|NG50	base|Genome fraction (%)	base|# misassemblies	base|# local misassemblies	base|# mismatches per 100 kbp	base|# indels per 100 kbp	base|Largest alignment	base|# contigs	base|Duplication ratio	model|NGA50	model|NG50	model|Genome fraction (%)	model|# misassemblies	model|# local misassemblies	model|# mismatches per 100 kbp	model|# indels per 100 kbp	model|Largest alignment	model|# contigs	model|Duplication ratio	careful|NGA50	careful|NG50	careful|Genome fraction (%)	careful|# misassemblies	careful|# local misassemblies	careful|# mismatches per 100 kbp	careful|# indels per 100 kbp	careful|Largest alignment	careful|# contigs	careful|Duplication ratio	aggressive|NGA50	aggressive|NG50	aggressive|Genome fraction (%)	aggressive|# misassemblies	aggressive|# local misassemblies	aggressive|# mismatches per 100 kbp	aggressive|# indels per 100 kbp	aggressive|Largest alignment	aggressive|# contigs	aggressive|Duplication ratio	spades|NGA50	spades|NG50	spades|Genome fraction (%)	spades|# misassemblies	spades|# local misassemblies	spades|# mismatches per 100 kbp	spades|# indels per 100 kbp	spades|Largest alignment	spades|# contigs	spades|Duplication ratio
GCF028335205v1	71437.0	71437.0	97.876	0.0	0.0	1.27	0.36	209390.0	108.0	1.004	87040.0	87040.0	97.97	0.0	0.0	1.27	0.36	209390.0	97.0	1.004	79799.0	79799.0	97.96	0.0	0.0	1.24	0.36	209390.0	103.0	1.004	71795.0	71795.0	98.417	0.0	0.0	1.8	0.36	209903.0	104.0	1.009	63286.0	63286.0	96.297	1.0	0.0	0.52	0.45	208820.0	112.0	1.0
GCF028335225v1	114034.0	114034.0	98.283	0.0	0.0	5.68	0.28	348888.0	97.0	1.009	114034.0	114034.0	98.39	2.0	1.0	5.68	0.32	348888.0	90.0	1.009	114034.0	114034.0	98.319	2.0	0.0	0.96	0.21	270033.0	95.0	1.009	100106.0	100106.0	98.359	1.0	0.0	8.37	0.56	348888.0	96.0	1.017	113886.0	113886.0	96.902	1.0	1.0	1.92	0.36	348776.0	97.0	1.001
GCF028335245v1	66350.0	66350.0	97.556	1.0	0.0	0.41	0.15	160966.0	97.0	1.011	66350.0	66350.0	97.474	1.0	0.0	0.45	0.15	160966.0	93.0	1.011	66350.0	66350.0	97.577	1.0	0.0	0.41	0.15	160966.0	99.0	1.01	81863.0	81863.0	97.637	2.0	1.0	0.92	0.15	187323.0	92.0	1.014	66223.0	66223.0	96.294	0.0	1.0	0.83	0.19	160464.0	102.0	1.0
GCF028335265v1	130411.0	130411.0	98.044	0.0	0.0	1.45	0.35	271461.0	82.0	1.003	148860.0	148860.0	98.093	1.0	0.0	6.09	0.35	491013.0	75.0	1.003	135461.0	135461.0	97.982	1.0	0.0	5.14	0.18	417272.0	78.0	1.004	129070.0	129070.0	98.214	1.0	0.0	6.28	0.35	361518.0	77.0	1.011	121397.0	121397.0	97.322	0.0	1.0	0.82	0.21	271147.0	87.0	1.0
GCF028335525v1	234593.0	234593.0	99.048	0.0	0.0	0.18	0.18	423888.0	43.0	1.005	250494.0	250494.0	99.048	0.0	0.0	0.18	0.18	423888.0	40.0	1.005	250494.0	250494.0	98.981	0.0	0.0	0.25	0.14	423888.0	40.0	1.005	194751.0	194751.0	99.137	2.0	0.0	1.36	0.17	423888.0	40.0	1.007	175982.0	175982.0	98.432	0.0	1.0	1.14	0.5	422251.0	47.0	1.0
GCF028335565v1	59575.0	59575.0	97.757	0.0	0.0	0.64	0.11	150233.0	115.0	1.013	70415.0	70415.0	97.743	0.0	0.0	0.64	0.11	150233.0	106.0	1.01	70415.0	70415.0	97.725	0.0	0.0	0.46	0.07	150233.0	105.0	1.01	89410.0	91851.0	98.425	2.0	0.0	5.91	0.17	150868.0	109.0	1.023	56545.0	56545.0	95.918	2.0	1.0	1.95	0.55	149762.0	109.0	1.0
GCF028335585v1	64602.0	64602.0	96.095	1.0	0.0	1.4	0.24	132909.0	143.0	1.014	70002.0	70002.0	95.994	1.0	0.0	1.4	0.24	132909.0	138.0	1.015	70002.0	70002.0	95.966	0.0	1.0	1.26	0.21	132909.0	140.0	1.014	76804.0	76804.0	96.858	0.0	0.0	2.48	0.23	133899.0	142.0	1.027	64327.0	64327.0	94.36	0.0	0.0	1.59	0.39	133293.0	135.0	1.001
GCF030295785v1	114266.0	114266.0	98.109	2.0	2.0	0.18	0.14	177672.0	78.0	1.005	114266.0	114266.0	98.109	2.0	2.0	0.18	0.14	177672.0	76.0	1.004	110866.0	110866.0	97.927	1.0	1.0	0.14	0.14	222032.0	77.0	1.004	125817.0	127213.0	98.28	1.0	2.0	0.85	0.14	177966.0	75.0	1.009	110374.0	110374.0	97.552	1.0	1.0	0.36	0.07	357301.0	78.0	1.001
GCF038436665v1	44137.0	44137.0	95.356	0.0	0.0	0.26	0.19	107964.0	187.0	1.02	50746.0	50746.0	95.401	0.0	0.0	0.26	0.19	131780.0	177.0	1.018	50746.0	50746.0	95.345	0.0	0.0	0.16	0.19	131782.0	179.0	1.017	59307.0	59307.0	96.652	2.0	0.0	3.3	0.28	174937.0	177.0	1.038	40601.0	40601.0	92.795	0.0	1.0	2.1	0.47	102043.0	177.0	1.001
GCF038437885v1	26347.0	26347.0	92.605	5.0	0.0	1.6	0.33	106373.0	254.0	1.012	26347.0	26347.0	92.712	5.0	0.0	1.6	0.33	126366.0	243.0	1.01	26347.0	26347.0	92.753	3.0	0.0	1.67	0.27	126366.0	246.0	1.01	33177.0	33177.0	95.283	4.0	0.0	5.61	0.35	126366.0	250.0	1.029	25658.0	25658.0	90.055	0.0	0.0	1.84	0.45	98787.0	237.0	1.001
GCF038439085v1	29437.0	30151.0	92.861	4.0	0.0	0.75	0.26	127038.0	237.0	1.017	30858.0	30858.0	92.862	4.0	0.0	0.71	0.26	127038.0	229.0	1.016	30127.0	30127.0	93.0	5.0	0.0	0.55	0.23	127014.0	240.0	1.017	32819.0	34787.0	94.2	5.0	0.0	3.49	0.38	127038.0	230.0	1.026	27753.0	27753.0	90.753	2.0	1.0	2.49	0.5	98787.0	229.0	1.002
GCF038441015v1	29812.0	32615.0	94.327	5.0	0.0	0.3	0.23	136273.0	233.0	1.016	33411.0	35634.0	94.527	5.0	1.0	0.3	0.26	136273.0	222.0	1.014	33149.0	33411.0	94.541	5.0	1.0	0.26	0.23	135282.0	227.0	1.016	33903.0	35977.0	95.053	4.0	1.0	2.46	0.45	136563.0	231.0	1.023	28207.0	28207.0	92.244	1.0	2.0	3.75	0.96	134206.0	211.0	1.001
GCF038441105v1	52675.0	52675.0	96.593	1.0	0.0	1.48	0.36	172155.0	162.0	1.012	61012.0	61012.0	96.643	2.0	0.0	1.41	0.39	172155.0	145.0	1.013	61012.0	61012.0	96.721	2.0	0.0	0.66	0.2	172155.0	148.0	1.012	70631.0	70631.0	97.647	1.0	0.0	3.12	0.39	253719.0	147.0	1.021	49608.0	49608.0	94.589	1.0	1.0	2.91	0.58	169370.0	148.0	1.001
GCF038441115v1	32480.0	32480.0	95.005	1.0	1.0	1.59	0.29	135258.0	228.0	1.023	40355.0	40355.0	95.174	1.0	1.0	1.59	0.32	223923.0	208.0	1.022	42581.0	42581.0	95.208	1.0	0.0	0.97	0.32	223923.0	216.0	1.024	51834.0	52757.0	96.776	4.0	1.0	6.09	0.47	135183.0	205.0	1.043	28857.0	28857.0	91.398	0.0	1.0	3.58	0.52	134586.0	224.0	1.001
GCF038441145v1	36968.0	36968.0	96.055	6.0	0.0	4.78	1.15	132196.0	204.0	1.027	45906.0	48635.0	96.139	6.0	0.0	4.66	1.15	167835.0	191.0	1.025	44029.0	44857.0	96.118	2.0	0.0	4.14	1.08	167835.0	202.0	1.027	53402.0	53402.0	97.76	3.0	0.0	6.62	1.18	168887.0	195.0	1.038	31728.0	31728.0	92.669	0.0	1.0	4.98	0.98	128983.0	206.0	1.001
GCF038441155v1	43396.0	43396.0	94.764	1.0	2.0	1.2	0.45	133902.0	194.0	1.017	51290.0	51290.0	95.031	1.0	2.0	1.23	0.45	153115.0	178.0	1.015	50859.0	50859.0	95.006	1.0	2.0	1.13	0.45	153115.0	183.0	1.018	50859.0	50859.0	95.845	1.0	2.0	3.09	0.45	154187.0	194.0	1.019	37017.0	37017.0	91.573	1.0	1.0	3.33	0.44	103375.0	205.0	1.001
GCF040367385v1	10802.0	10915.0	93.42	12.0	2.0	12.74	6.27	35379.0	528.0	1.018	11056.0	11185.0	93.425	12.0	2.0	12.74	6.3	35379.0	520.0	1.018	11185.0	11185.0	93.458	12.0	2.0	11.86	6.17	35379.0	523.0	1.018	11266.0	11473.0	94.518	15.0	2.0	15.16	6.5	35577.0	517.0	1.023	11718.0	12259.0	91.22	14.0	0.0	7.11	4.05	55356.0	433.0	1.003
GCF050909075v1	36963.0	37012.0	94.695	5.0	1.0	2.71	1.71	173475.0	221.0	1.017	43171.0	43171.0	94.853	6.0	1.0	2.75	1.71	173475.0	203.0	1.013	43252.0	43252.0	94.841	4.0	1.0	2.45	1.58	173475.0	217.0	1.017	43887.0	43887.0	96.002	7.0	2.0	5.18	1.96	173916.0	211.0	1.026	34294.0	34294.0	91.486	1.0	2.0	3.7	1.22	171510.0	230.0	1.002
GCF051244865v1	81124.0	81124.0	97.275	1.0	0.0	1.55	0.4	164177.0	101.0	1.009	88380.0	88380.0	97.488	2.0	1.0	1.91	0.4	278335.0	86.0	1.008	81124.0	81124.0	97.219	2.0	0.0	1.63	0.36	251306.0	98.0	1.007	96494.0	96494.0	97.922	1.0	1.0	1.74	0.57	279415.0	84.0	1.016	82005.0	82005.0	96.385	0.0	2.0	0.51	0.11	163250.0	97.0	1.001
GCF052055545v1	33524.0	33600.0	94.317	5.0	0.0	1.43	0.56	147248.0	183.0	1.01	35296.0	37124.0	94.534	5.0	0.0	1.43	0.56	161790.0	170.0	1.009	35296.0	37004.0	94.55	3.0	0.0	1.27	0.56	161790.0	176.0	1.01	34870.0	34870.0	96.005	2.0	0.0	5.46	0.69	161790.0	182.0	1.023	31699.0	31699.0	92.293	2.0	2.0	5.41	0.9	145687.0	201.0	1.001
GCF052161595v1	31225.0	32092.0	94.891	5.0	1.0	1.88	0.62	111599.0	264.0	1.014	37192.0	37192.0	95.156	6.0	1.0	2.06	0.62	129849.0	237.0	1.013	34817.0	34817.0	95.151	6.0	0.0	1.54	0.65	129849.0	241.0	1.013	38979.0	38979.0	96.399	8.0	0.0	5.77	0.66	131521.0	232.0	1.024	34880.0	34880.0	91.638	3.0	2.0	4.53	0.65	130602.0	226.0	1.001
GCF052828105v1	41224.0	41224.0	94.773	1.0	0.0	0.58	0.36	127308.0	179.0	1.011	55553.0	55553.0	95.001	1.0	0.0	0.61	0.36	127308.0	159.0	1.009	55553.0	55553.0	94.874	1.0	0.0	0.45	0.32	127308.0	163.0	1.01	55553.0	55553.0	95.673	2.0	0.0	3.96	0.92	150897.0	163.0	1.021	39305.0	39305.0	93.185	2.0	2.0	1.52	0.36	125952.0	183.0	1.002
GCF053161235v2	35068.0	35068.0	95.347	2.0	0.0	0.71	0.34	100456.0	196.0	1.015	40888.0	41092.0	95.483	4.0	0.0	0.68	0.37	100456.0	186.0	1.013	41092.0	41092.0	95.461	3.0	0.0	0.47	0.37	100456.0	190.0	1.013	59723.0	59723.0	97.058	1.0	0.0	2.88	0.43	96148.0	185.0	1.029	33285.0	33285.0	92.502	1.0	2.0	3.18	0.57	90650.0	208.0	1.001
GCF055814315v1	95378.0	95378.0	97.76	0.0	0.0	0.4	0.3	236106.0	110.0	1.006	95378.0	95378.0	97.735	0.0	0.0	0.4	0.3	236106.0	107.0	1.006	95378.0	95378.0	97.76	0.0	0.0	0.2	0.3	236778.0	108.0	1.006	114815.0	121702.0	98.496	3.0	1.0	2.31	0.43	285968.0	96.0	1.01	63323.0	63323.0	96.613	1.0	0.0	1.36	0.2	235729.0	116.0	1.0
GCF058071505v1	35085.0	35740.0	93.918	2.0	0.0	5.46	0.48	114206.0	234.0	1.014	36341.0	38695.0	94.121	3.0	0.0	5.42	0.48	154685.0	224.0	1.014	42753.0	43207.0	94.41	3.0	1.0	3.75	0.6	176763.0	220.0	1.014	40499.0	40721.0	95.253	2.0	2.0	9.91	0.81	150582.0	223.0	1.024	33742.0	33742.0	92.32	0.0	1.0	4.25	0.49	100206.0	210.0	1.001
GCF058071585v1	34107.0	34107.0	94.232	1.0	1.0	5.81	0.99	109519.0	215.0	1.014	35197.0	35197.0	94.35	3.0	1.0	6.9	1.18	151302.0	204.0	1.014	47466.0	47466.0	95.171	2.0	1.0	5.28	0.66	151594.0	187.0	1.015	39070.0	39070.0	95.802	1.0	1.0	10.7	1.06	136910.0	212.0	1.025	32648.0	32648.0	92.22	0.0	0.0	6.39	1.16	108942.0	205.0	1.001
GCF059696715v1	57342.0	59631.0	96.91	1.0	0.0	0.98	0.51	164807.0	157.0	1.006	57342.0	59631.0	96.896	1.0	0.0	0.98	0.51	164807.0	153.0	1.005	56733.0	56733.0	96.72	0.0	0.0	1.12	0.51	164807.0	161.0	1.006	62003.0	62003.0	98.072	1.0	1.0	5.02	1.75	165816.0	141.0	1.018	56126.0	56126.0	95.304	0.0	0.0	0.55	0.1	164708.0	144.0	1.001
GCF900635365v1	191504.0	191504.0	98.223	0.0	1.0	0.61	0.23	470396.0	51.0	1.005	191504.0	191680.0	98.257	1.0	1.0	0.61	0.23	470396.0	50.0	1.004	184753.0	191682.0	98.305	1.0	0.0	0.49	0.23	470396.0	56.0	1.005	205581.0	205581.0	98.399	1.0	1.0	1.05	0.23	470396.0	50.0	1.008	49176.0	49176.0	97.768	0.0	0.0	0.57	0.15	130938.0	108.0	1.002
GCF900635415v1	39735.0	41082.0	94.337	2.0	2.0	4.59	1.32	144907.0	228.0	1.008	41082.0	45835.0	94.337	3.0	3.0	4.63	1.32	144907.0	210.0	1.008	41996.0	41996.0	94.474	2.0	2.0	2.82	1.21	144907.0	203.0	1.012	41082.0	42324.0	94.921	3.0	3.0	5.82	2.51	144907.0	205.0	1.011	37972.0	37972.0	93.221	1.0	3.0	2.82	1.27	144980.0	176.0	1.001
GCF900637035v1	65846.0	65846.0	98.026	1.0	0.0	1.95	0.46	238666.0	65.0	1.005	65846.0	65846.0	97.953	2.0	0.0	1.95	0.46	238666.0	64.0	1.006	65846.0	65846.0	98.198	3.0	0.0	1.24	0.37	201567.0	65.0	1.005	66113.0	66113.0	98.492	2.0	0.0	2.31	0.37	238666.0	68.0	1.006	65368.0	65368.0	97.243	0.0	1.0	2.31	0.46	238726.0	59.0	1.0
GCF900638765v1	114117.0	114117.0	97.631	0.0	0.0	1.13	0.36	254224.0	63.0	1.002	114117.0	114117.0	97.631	0.0	0.0	1.13	0.36	254224.0	63.0	1.002	113054.0	113054.0	97.591	0.0	0.0	1.21	0.32	254224.0	67.0	1.002	114117.0	114117.0	98.03	1.0	0.0	1.57	0.36	254352.0	65.0	1.004	57262.0	57262.0	97.057	1.0	1.0	0.49	0.45	165112.0	102.0	1.001
GCF900638775v1	37431.0	37431.0	93.91	2.0	1.0	0.44	0.12	121417.0	153.0	1.004	37431.0	37431.0	93.938	2.0	0.0	0.48	0.12	121417.0	150.0	1.004	39369.0	39369.0	94.044	2.0	0.0	0.32	0.08	121417.0	155.0	1.004	39369.0	39369.0	94.268	2.0	0.0	0.64	0.12	121417.0	151.0	1.006	36985.0	36985.0	93.095	1.0	1.0	1.26	0.24	122594.0	163.0	1.001
GCF900638785v1	59307.0	59307.0	96.257	2.0	0.0	0.64	0.29	157442.0	129.0	1.008	69478.0	77106.0	96.277	2.0	0.0	0.68	0.29	157442.0	120.0	1.007	69478.0	77106.0	96.294	1.0	0.0	0.61	0.18	157442.0	122.0	1.008	69478.0	77759.0	96.756	3.0	0.0	0.89	0.28	157442.0	123.0	1.008	56790.0	56790.0	95.218	0.0	2.0	2.33	0.51	157073.0	125.0	1.0
GCF900638805v1	56776.0	56776.0	96.035	2.0	0.0	0.71	0.11	173906.0	143.0	1.005	56776.0	56776.0	96.084	2.0	0.0	0.71	0.14	173906.0	137.0	1.005	58965.0	58965.0	96.033	2.0	0.0	0.46	0.07	173977.0	132.0	1.008	56445.0	56445.0	96.229	0.0	0.0	1.07	0.14	173906.0	147.0	1.006	44985.0	44985.0	95.051	0.0	1.0	1.88	0.22	146045.0	150.0	1.001
GCF900638815v1	97549.0	97549.0	97.461	0.0	1.0	1.03	0.36	317214.0	59.0	1.002	104318.0	104318.0	97.418	0.0	2.0	1.03	0.36	317214.0	58.0	1.002	104318.0	104318.0	97.395	0.0	1.0	0.91	0.32	317238.0	63.0	1.002	90804.0	97549.0	97.793	1.0	1.0	1.81	0.43	317519.0	63.0	1.004	78751.0	78751.0	97.125	1.0	3.0	1.03	0.36	216978.0	70.0	1.001
GCF900638825v1	48618.0	48618.0	96.138	1.0	1.0	1.84	0.45	211125.0	141.0	1.007	59617.0	59617.0	96.227	1.0	0.0	1.15	0.28	211125.0	141.0	1.007	48673.0	48673.0	96.579	1.0	0.0	0.52	0.38	184064.0	157.0	1.008	48618.0	48618.0	96.436	2.0	0.0	4.79	0.31	211125.0	164.0	1.012	47638.0	47638.0	95.384	0.0	2.0	2.26	0.32	184372.0	174.0	1.001
GCF900639335v1	41381.0	41381.0	94.187	3.0	1.0	6.39	1.12	143785.0	214.0	1.015	41381.0	43830.0	94.239	4.0	1.0	6.29	1.16	143785.0	207.0	1.015	43927.0	45505.0	94.21	3.0	2.0	6.75	1.12	143785.0	215.0	1.016	41381.0	41381.0	94.897	2.0	1.0	12.65	1.6	144190.0	231.0	1.026	40413.0	40413.0	91.586	0.0	1.0	5.74	0.74	143438.0	211.0	1.001
GCF900639345v1	43775.0	43775.0	94.777	0.0	0.0	2.32	0.35	148261.0	189.0	1.004	44197.0	49062.0	94.883	1.0	1.0	2.38	0.35	154744.0	178.0	1.004	43299.0	43299.0	95.073	0.0	0.0	2.27	0.28	148261.0	201.0	1.004	44038.0	44038.0	95.36	1.0	1.0	4.2	0.68	148261.0	200.0	1.011	44226.0	44226.0	93.503	0.0	1.0	2.0	0.32	147872.0	196.0	1.001
GCF900639395v1	43537.0	43537.0	95.212	5.0	1.0	7.36	1.8	129666.0	195.0	1.009	46466.0	47190.0	95.366	4.0	1.0	6.78	1.7	129666.0	185.0	1.009	46466.0	47190.0	95.308	3.0	0.0	4.95	1.55	147102.0	191.0	1.01	47828.0	48051.0	96.055	4.0	0.0	8.87	1.71	149170.0	201.0	1.016	41519.0	41519.0	93.926	1.0	1.0	2.58	0.52	145619.0	199.0	1.001
GCF900639415v1	39500.0	41173.0	93.304	2.0	0.0	7.41	1.09	120305.0	208.0	1.006	41173.0	42851.0	93.43	3.0	0.0	7.44	1.09	120305.0	191.0	1.005	44326.0	44326.0	93.935	3.0	0.0	4.14	0.81	157587.0	196.0	1.01	53081.0	53081.0	94.512	3.0	1.0	9.56	1.52	120305.0	202.0	1.013	37252.0	37252.0	92.749	0.0	1.0	4.36	0.93	120677.0	198.0	1.001
GCF900639425v1	48744.0	51198.0	95.853	2.0	2.0	6.51	0.62	132011.0	201.0	1.016	54426.0	54882.0	95.886	4.0	2.0	5.99	0.69	132011.0	181.0	1.015	54882.0	59201.0	96.005	5.0	1.0	5.58	0.69	132011.0	190.0	1.016	53724.0	54882.0	96.75	4.0	3.0	6.72	0.87	132162.0	183.0	1.025	50028.0	50028.0	94.122	1.0	3.0	5.36	1.39	130297.0	195.0	1.003
GCF900639445v1	35073.0	38570.0	93.654	1.0	0.0	2.52	0.65	116109.0	220.0	1.004	38570.0	41838.0	93.775	1.0	1.0	2.52	0.65	116109.0	206.0	1.004	39040.0	39040.0	93.757	0.0	1.0	0.78	0.14	116109.0	212.0	1.004	42597.0	42597.0	94.577	0.0	1.0	3.44	0.64	116277.0	211.0	1.013	36818.0	36818.0	92.982	0.0	0.0	1.58	0.38	116107.0	194.0	1.001
GCF900639465v1	34548.0	34582.0	95.853	4.0	2.0	1.88	2.57	147249.0	203.0	1.01	36263.0	37205.0	95.859	5.0	2.0	1.91	2.57	147249.0	190.0	1.01	37124.0	37205.0	95.793	4.0	2.0	1.44	1.66	147249.0	191.0	1.01	39932.0	48124.0	97.442	7.0	2.0	3.12	2.54	147249.0	183.0	1.019	33422.0	33422.0	93.68	4.0	1.0	2.79	2.53	109381.0	198.0	1.001
GCF900639485v1	46066.0	46066.0	94.937	1.0	0.0	1.42	0.19	117910.0	209.0	1.011	51008.0	51027.0	94.969	1.0	0.0	1.48	0.19	117910.0	199.0	1.011	50975.0	50975.0	95.061	1.0	0.0	0.85	0.25	118264.0	210.0	1.013	51027.0	51027.0	95.529	2.0	2.0	8.01	0.31	118586.0	199.0	1.018	37278.0	37278.0	93.179	0.0	0.0	2.44	0.49	116558.0	230.0	1.001
GCF900639505v1	34223.0	34223.0	94.334	2.0	0.0	3.41	1.46	111032.0	266.0	1.011	34413.0	34413.0	94.348	2.0	0.0	3.41	1.46	116706.0	250.0	1.011	34946.0	34946.0	94.267	1.0	0.0	2.92	1.49	133084.0	246.0	1.013	34868.0	34868.0	94.688	5.0	0.0	3.55	1.55	111032.0	252.0	1.015	34274.0	34274.0	93.398	0.0	1.0	3.81	0.66	146857.0	181.0	1.001
GCF900639515v1	50587.0	50587.0	95.322	2.0	0.0	1.01	0.17	143274.0	147.0	1.011	58158.0	58158.0	95.301	2.0	0.0	1.02	0.17	148453.0	141.0	1.011	58027.0	58027.0	95.544	2.0	0.0	0.95	0.17	148453.0	146.0	1.011	62017.0	62017.0	95.892	1.0	0.0	1.44	0.2	153486.0	143.0	1.013	49408.0	49408.0	93.838	0.0	1.0	1.63	0.21	144363.0	155.0	1.001
GCF900639535v1	34930.0	34930.0	94.368	1.0	2.0	2.28	0.39	132958.0	225.0	1.008	34930.0	34930.0	94.414	1.0	2.0	2.25	0.38	132958.0	218.0	1.008	34815.0	34815.0	94.215	1.0	1.0	2.12	0.39	132958.0	216.0	1.007	37124.0	37124.0	95.408	2.0	3.0	5.65	1.04	131273.0	223.0	1.013	34678.0	34678.0	93.133	1.0	1.0	2.78	0.72	130300.0	195.0	1.001
GCF900639545v1	34538.0	34788.0	93.554	3.0	0.0	3.08	0.73	180245.0	254.0	1.01	35054.0	35054.0	93.593	4.0	0.0	3.59	0.7	180245.0	238.0	1.011	34475.0	34475.0	93.638	5.0	0.0	3.77	1.27	180245.0	246.0	1.011	35658.0	39236.0	94.308	4.0	0.0	4.27	0.88	180245.0	250.0	1.014	33145.0	33145.0	92.921	0.0	1.0	2.03	0.81	178457.0	235.0	1.001
GCF900639555v1	56927.0	56927.0	96.79	1.0	0.0	0.86	0.14	204178.0	168.0	1.01	58030.0	58030.0	96.744	1.0	0.0	0.86	0.14	204178.0	165.0	1.01	58030.0	59027.0	96.73	2.0	0.0	0.79	0.17	204178.0	164.0	1.011	58030.0	58030.0	97.46	1.0	0.0	2.69	0.2	205244.0	166.0	1.021	56545.0	56545.0	94.667	1.0	2.0	3.0	0.56	203951.0	164.0	1.003
GCF900639565v1	37007.0	37007.0	95.438	1.0	0.0	0.57	0.2	147152.0	177.0	1.007	42254.0	42254.0	95.506	2.0	0.0	0.63	0.2	147152.0	166.0	1.006	40234.0	40234.0	95.68	2.0	0.0	0.6	0.2	147248.0	168.0	1.008	46162.0	50082.0	96.482	4.0	0.0	1.9	0.26	147152.0	170.0	1.014	35120.0	35120.0	93.684	0.0	1.0	1.92	0.44	145687.0	193.0	1.001
GCF900639605v1	38361.0	38361.0	95.696	0.0	0.0	0.74	0.06	209163.0	188.0	1.013	41462.0	41462.0	95.665	0.0	0.0	0.77	0.06	209163.0	181.0	1.013	41462.0	41462.0	95.707	0.0	0.0	0.67	0.16	209163.0	178.0	1.013	41462.0	41462.0	96.665	1.0	0.0	2.75	0.09	196905.0	195.0	1.026	35117.0	35117.0	93.514	0.0	2.0	0.63	0.27	178457.0	188.0	1.001
GCF900639635v1	49210.0	49210.0	96.036	2.0	0.0	1.82	0.4	149415.0	121.0	1.006	58423.0	58423.0	96.087	2.0	0.0	1.75	0.4	149415.0	112.0	1.005	58823.0	58823.0	96.551	0.0	0.0	0.98	0.18	149477.0	119.0	1.006	58423.0	58423.0	96.784	2.0	0.0	1.95	0.36	149415.0	121.0	1.008	42227.0	42227.0	95.44	2.0	2.0	1.7	0.52	149432.0	130.0	1.001
GCF900639655v1	57566.0	57566.0	97.333	0.0	0.0	0.18	0.14	151804.0	120.0	1.006	72144.0	72144.0	97.437	0.0	0.0	0.18	0.18	151804.0	108.0	1.005	72144.0	72144.0	97.274	0.0	0.0	0.11	0.14	151827.0	118.0	1.005	65361.0	65361.0	97.747	0.0	0.0	0.82	0.18	153126.0	113.0	1.009	56318.0	56318.0	96.136	0.0	2.0	1.21	0.37	160670.0	104.0	1.001
GCF907165365v1	37205.0	37205.0	96.587	2.0	3.0	3.03	0.4	134344.0	198.0	1.015	41036.0	44011.0	96.709	2.0	3.0	3.4	0.4	135144.0	184.0	1.015	40118.0	41036.0	96.65	1.0	1.0	3.03	0.37	135044.0	193.0	1.015	40768.0	42467.0	98.341	5.0	3.0	2.62	0.45	144578.0	184.0	1.025	33028.0	33028.0	94.087	2.0	0.0	0.35	0.13	132304.0	213.0	1.002
GCF907176815v1	34821.0	34821.0	96.691	1.0	0.0	1.78	0.29	101547.0	202.0	1.023	43056.0	43056.0	96.674	1.0	0.0	1.82	0.29	111411.0	196.0	1.022	41590.0	41590.0	96.734	1.0	0.0	1.88	0.26	111411.0	204.0	1.021	45734.0	47667.0	97.437	1.0	2.0	3.32	0.34	108040.0	197.0	1.031	35094.0	35094.0	94.337	0.0	0.0	0.77	0.23	117708.0	194.0	1.002
GCF965641755v1	34714.0	34714.0	94.39	2.0	0.0	0.67	0.18	137465.0	236.0	1.007	35237.0	35237.0	94.335	2.0	0.0	0.67	0.18	137465.0	228.0	1.007	35237.0	35237.0	94.36	4.0	1.0	0.49	0.18	137465.0	225.0	1.006	34714.0	34714.0	94.868	1.0	0.0	2.25	0.21	137465.0	233.0	1.017	43787.0	43787.0	93.474	4.0	2.0	3.0	0.54	144491.0	167.0	1.001
